pan_transcriptome_size	genes_pan	hard_core_transcriptome_size	genes_hard_core	soft_core_transcriptome_size	genes_soft_core	accessory_transcriptome_size	genes_accessory	exclusive_transcriptome_size	genes_exclusive	number_genotypes	n_sample
297430	1503983	131	3756	0	0	297299	1500227	92344	0	8	15
276896	1396690	1393	36203	0	0	275503	1360487	112878	0	8	16
313637	1805501	138	4778	0	0	313499	1800723	76137	0	8	17
293360	1512519	612	16346	0	0	292748	1496173	96414	0	8	18
319876	1842825	152	4648	0	0	319724	1838177	69898	0	8	19
335791	2352996	418	13079	0	0	335373	2339917	53983	0	9	0
304095	1541387	102	3434	0	0	303993	1537953	85679	0	9	1
226112	1215420	103	2899	0	0	226009	1212521	163662	0	9	2
335795	2346196	453	13782	0	0	335342	2332414	53979	0	9	3
328274	2070614	107	4016	0	0	328167	2066598	61500	0	9	4
289358	1579992	1272	37266	0	0	288086	1542726	100416	0	9	5
313329	1910607	1726	48501	0	0	311603	1862106	76445	0	9	6
279230	1443310	1247	34445	0	0	277983	1408865	110544	0	9	7
290770	1438344	79	2542	0	0	290691	1435802	99004	0	9	8
192489	1176532	10221	336566	0	0	182268	839966	197285	0	9	9
326944	2027323	1784	51090	0	0	325160	1976233	62830	0	9	10
277659	1399449	1272	34468	0	0	276387	1364981	112115	0	9	11
336560	2279426	103	3897	0	0	336457	2275529	53214	0	9	12
334753	2312986	357	11352	0	0	334396	2301634	55021	0	9	13
305802	1534508	82	2834	0	0	305720	1531674	83972	0	9	14
307513	1745101	628	18261	0	0	306885	1726840	82261	0	9	15
318530	1822007	71	2723	0	0	318459	1819284	71244	0	9	16
300222	1694202	10321	342174	0	0	289901	1352028	89552	0	9	17
209069	1179255	139	4196	0	0	208930	1175059	180705	0	9	18
271188	1476458	1746	47253	0	0	269442	1429205	118586	0	9	19
230525	1296643	79	2763	0	0	219879	952484	159249	0	10	0
311715	1774394	84	3244	0	0	310945	1750541	78059	0	10	1
288478	1566591	89	2882	0	0	286631	1517207	101296	0	10	2
339234	2473586	97	4207	0	0	338654	2454526	50540	0	10	3
