Orthogroups	Group	number_genotypes
39	Hardcore	17
41	Hardcore	17
33	Hardcore	17
39	Hardcore	17
40	Hardcore	17
36	Hardcore	17
196	Hardcore	17
1044	Hardcore	17
32	Hardcore	17
48	Hardcore	17
203	Hardcore	17
33	Hardcore	18
39	Hardcore	18
33	Hardcore	18
38	Hardcore	18
34	Hardcore	18
38	Hardcore	18
34	Hardcore	18
31	Hardcore	18
39	Hardcore	18
33	Hardcore	18
191	Hardcore	18
34	Hardcore	18
46	Hardcore	18
32	Hardcore	18
37	Hardcore	18
35	Hardcore	18
33	Hardcore	18
44	Hardcore	18
45	Hardcore	18
37	Hardcore	18
30	Hardcore	19
31	Hardcore	19
31	Hardcore	19
30	Hardcore	19
35	Hardcore	19
34	Hardcore	19
31	Hardcore	19
30	Hardcore	19
36	Hardcore	19
36	Hardcore	19
31	Hardcore	19
33	Hardcore	19
31	Hardcore	19
34	Hardcore	19
36	Hardcore	19
32	Hardcore	19
31	Hardcore	19
33	Hardcore	19
30	Hardcore	19
35	Hardcore	19
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	1
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	2
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	3
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	4
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	5
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	6
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	7
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	8
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	9
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
0	Softcore	10
488	Softcore	11
1466	Softcore	11
1853	Softcore	11
10486	Softcore	11
11873	Softcore	11
10644	Softcore	11
556	Softcore	11
10672	Softcore	11
485	Softcore	11
2064	Softcore	11
295	Softcore	11
601	Softcore	11
11388	Softcore	11
11554	Softcore	11
512	Softcore	11
10959	Softcore	11
512	Softcore	11
10605	Softcore	11
9828	Softcore	11
1330	Softcore	11
10027	Softcore	12
551	Softcore	12
1803	Softcore	12
9208	Softcore	12
10118	Softcore	12
9285	Softcore	12
9596	Softcore	12
